song_id;song_name;popularity;is_collaboration;artist_names;artist_count;all_genres_list;avg_artist_betweenness;genre_heterogeneity_index;danceability;energy;valence
65CTrkKjcQcZmyv0373syo;Largado As Traças - Acústico;0;False;Zé Neto & Cristiano;1;['sertanejo universitario'];0.0;1.0;0.799;0.743;0.669
7vGuf3Y35N4wmASOKLUVVU;Silence;80;True;"Marshmello; Khalid";2;['brostep, pop, progressive electro house', 'alternative r&b, pop'];0.000676132521974307;2.0;0.52;0.761;0.286
6EFIK4B0jrvLO096QYEhnX;Você Não Vale Nada;52;True;"Menor; Zé Felipe";2;['funk carioca', 'funk carioca, sertanejo pop, sertanejo universitario'];0.0;1.5;0.603;0.962;0.768
6zp6PbBzByRcPTQtXLQV9x;Mandella É Meu Nome;41;False;MC Kekel;1;['funk carioca, funk ostentacao'];0.0;2.0;0.553;0.664;0.608
2jq2SaLa7BeUtU6Lx9bxGU;Cadeira de Aço - Ao Vivo;58;False;Zé Neto & Cristiano;1;['sertanejo universitario'];0.0;1.0;0.746;0.871;0.554
3sIMCkwUZbQbWeNOTG3ET4;Permanecer (feat. MC G15);53;True;"Lucas Lucco; MC G15";2;['funk carioca, sertanejo, sertanejo pop, sertanejo universitario', 'brega funk, funk carioca, funk das antigas, funk ostentacao'];0.014899063073505265;3.5;0.866;0.559;0.729
5ac0YTpOaDX9wEYYyGCglL;Ar-Condicionado No 15 - Ao Vivo;59;False;Wesley Safadão;1;['forro'];0.08226669978336162;1.0;0.623;0.892;0.663
0tKcYR2II1VCQWT79i5NrW;Thunder;21;False;Imagine Dragons;1;['modern rock, rock'];0.0;2.0;0.6;0.81;0.298
3hBBKuWJfxlIlnd9QFoC8k;What Lovers Do (feat. SZA);14;True;"Maroon 5; SZA";2;['pop, pop rock', 'pop, pop rap, rap'];0.017651888341543517;2.0;0.795;0.615;0.393
5xVJU6DJHnmHnbbKS56yCC;4 da manhã;65;False;UM44K;1;['funk carioca, nova mpb'];0.0;2.0;0.794;0.474;0.857
4JPSfCXQe6kDliMIJTqISW;Coladinha em Mim - Ao Vivo;58;True;"Gustavo Mioto; Anitta";2;['sertanejo, sertanejo pop, sertanejo universitario', 'baile pop, funk carioca, funk das antigas, pagode baiano'];0.11847313638098923;3.5;0.623;0.68;0.643
5Bc53chGSf3AoJRbB5mzR6;Ficadinha - Ao Vivo;43;False;Henrique & Diego;1;['brazilian edm, sertanejo, sertanejo pop, sertanejo universitario'];0.00012073795035255482;4.0;0.673;0.895;0.88
0AyCBE9YKWjatl0ukCAhxN;Com Amor Não Se Brinca - Ao Vivo;42;False;Jonas Esticado;1;['forro, sertanejo pop'];0.0;2.0;0.493;0.869;0.727
228vRHzGfQh47EfLjuY1Yr;Rabiola;44;False;MC Kevinho;1;['funk carioca, funk ostentacao'];0.016713581984517938;2.0;0.748;0.499;0.686
09ts3GnICqYEU5PkQCpJK3;Say Something;61;True;"Justin Timberlake; Chris Stapleton";2;['dance pop, pop', 'contemporary country, outlaw country'];0.0;2.0;0.707;0.632;0.372
2x0WlnmfG39ZuDmstl9xfX;End Game;69;True;"Taylor Swift; Future; Ed Sheeran";3;['dance pop, pop, post-teen pop', 'atl hip hop, pop rap, rap, southern hip hop, trap', 'pop, uk pop'];0.016412312051257285;3.0;0.649;0.589;0.151
7ozozCaLTXDY0ctHFLFlmK;Minha Ex Tá Bem;0;False;Israel Novaes;1;['sertanejo, sertanejo pop, sertanejo universitario'];0.0;3.0;0.816;0.895;0.965
7nZmah2llfvLDiUjm0kiyz;Friends (with BloodPop®);16;True;"BloodPop®; Justin Bieber";2;['electropop', 'canadian pop, pop, post-teen pop'];0.00019318072056408772;2.0;0.744;0.739;0.649
3eGK0WFi6ISJ9UZA6Za4HX;Singular;1;False;ANAVITÓRIA;1;['folk brasileiro, nova mpb, pop nacional, portuguese pop'];0.01028687337003767;4.0;0.744;0.303;0.306
2Tq2R8sRftNEqdgJK5HadO;My My My!;6;False;Troye Sivan;1;['australian pop, dance pop, electropop, pop, post-teen pop, viral pop'];0.0;6.0;0.699;0.479;0.462
7GX5flRQZVHRAGd6B4TmDO;XO Tour Llif3;85;False;Lil Uzi Vert;1;['melodic rap, philly rap, rap'];0.0;3.0;0.732;0.75;0.401
77vZMrfbZIgGKBcFe3MsD7;Paga De Solteiro Feliz;0;True;"Simone & Simaria; Alok";2;['funk carioca, pop nacional, sertanejo pop, sertanejo universitario', 'brazilian edm, electro house, pop nacional'];0.038610156706360706;3.0;0.686;0.945;0.112
2CW04trIoYMbroZWDzPAjs;Medo Bobo - Ao Vivo;64;False;Maiara & Maraisa;1;['sertanejo pop, sertanejo universitario'];0.03204224218422998;2.0;0.599;0.65;0.346
0ihMkv4Usn03EEEF8Rlw22;Rapariga Não - Ao Vivo;51;True;"Simone & Simaria; João Neto & Frederico";2;['funk carioca, pop nacional, sertanejo pop, sertanejo universitario', 'funk carioca, sertanejo, sertanejo pop, sertanejo universitario'];0.02001881212255017;2.5;0.708;0.936;0.71
2KwojFDebQV4J2b0JMRR5Q;Is That For Me;60;True;"Alesso; Anitta";2;['big room, dance pop, edm, electro house, pop, progressive electro house, progressive house, tropical house', 'baile pop, funk carioca, funk das antigas, pagode baiano'];0.10798342325435926;6.0;0.761;0.785;0.58
1m1vw2OQTYHt9AukcIPs8x;Escalada pra Jogar;31;False;Henrique & Diego;1;['brazilian edm, sertanejo, sertanejo pop, sertanejo universitario'];0.00012073795035255482;4.0;0.722;0.858;0.917
70lnL3QaSOIIyMa2X9aVRL;Perro Fiel (feat. Nicky Jam);71;True;"Shakira; Nicky Jam";2;['colombian pop, dance pop, latin, latin pop, pop', 'latin, latin hip hop, reggaeton, tropical'];0.0025837921375446733;4.0;0.75;0.76;0.893
1e315r3zQjsng2z952ePQ1;Ninguém É de Ferro;57;True;"Wesley Safadão; Marília Mendonça";2;['forro', 'sertanejo'];0.06071060608151307;1.0;0.688;0.92;0.905
2x67AU9q3lf7cfPSzxCDsL;De Trás Pra Frente - Ao Vivo;63;False;Henrique & Juliano;1;['sertanejo universitario'];0.0006278373418332851;1.0;0.565;0.586;0.677
0eDFrr2qgbIPQSU9YQeAXM;Não Troco;63;False;Hungria Hip Hop;1;['brasilia hip hop, brazilian edm, brazilian hip hop, trap brasileiro'];0.0;4.0;0.779;0.196;0.63
76Fc23n9Nrs4wULSY58LPc;Aquecimento das Potrancas;43;True;"MC WM; MC's Jhowzinho & Kadinho";2;['baile pop, brazilian edm, funk carioca, funk ostentacao', 'funk carioca'];0.0076789336424224865;2.0;0.879;0.701;0.802
3GCdLUSnKSMJhs4Tj6CV3s;All The Stars (with SZA);79;True;"Kendrick Lamar; SZA";2;['conscious hip hop, hip hop, rap, west coast rap', 'pop, pop rap, rap'];0.01272577996715928;3.0;0.698;0.633;0.552
5VnDkUNyX6u5Sk0yZiP8XB;Thunder;14;False;Imagine Dragons;1;['modern rock, rock'];0.0;2.0;0.604;0.826;0.241
3Cabw7y9EoR68v7dBS76HQ;Pirata e tesouro - Ao vivo;61;False;Ferrugem;1;['pagode'];0.0;1.0;0.582;0.777;0.583
79jX8RM5CgPqDKdGEKNW9K;In My Blood;18;False;Shawn Mendes;1;['canadian pop, dance pop, pop, post-teen pop, viral pop'];0.0;5.0;0.628;0.715;0.429
2Oehrcv4Kov0SuIgWyQY9e;Demons;18;False;Imagine Dragons;1;['modern rock, rock'];0.0;2.0;0.327;0.71;0.416
1hnGRSqLdeLB7x7kdDuizq;Na Conta Da Loucura - Ao Vivo;0;False;Bruno & Marrone;1;['sertanejo, sertanejo pop, sertanejo universitario'];0.006600341285939664;3.0;0.749;0.817;0.776
